"water density (0-100C at 1 atm, >100C at saturation pressure)"	
https://www.engineeringtoolbox.com/water-density-specific-weight-d_595.html	
Temperature	Density
(C)	(g/cm3)
0.1	0.9998495
1	0.9999017
4	0.9999749
10	0.9997
15	0.9991026
20	0.9982067
25	0.997047
30	0.9956488
35	0.9940326
40	0.9922152
45	0.99021
50	0.98804
55	0.98569
60	0.9832
65	0.98055
70	0.97776
75	0.97484
80	0.97179
85	0.96861
90	0.96531
95	0.96189
100	0.95835
110	0.95095
120	0.94311
140	0.92613
160	0.90745
180	0.887
200	0.86466
220	0.84022
240	0.81337
260	0.78363
280	0.75028
300	0.71214
320	0.66709
340	0.61067
360	0.52759
373.946	0.322
